epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,54191.8,1.26412,1.79867,1.20671,1.16357,0.58796,0.58621,0.60643,0.35691,0.56874,0.56705,0.57915,0.26579,1.37723,2.30229,1.52884,1.24396,0.007129,0.007129,0.007129
31,54286.1,1.30428,1.79391,1.15059,1.16372,0.64936,0.65517,0.69829,0.42571,0.63465,0.63985,0.68621,0.39999,1.32296,1.85805,1.2308,1.18123,0.00703,0.00703,0.00703
32,54371.8,1.34568,1.82455,1.14395,1.18207,0.59801,0.58621,0.61029,0.36912,0.59562,0.57471,0.59721,0.3186,1.35032,2.06381,1.4859,1.19781,0.006931,0.006931,0.006931
33,54462.4,1.25898,1.71971,1.14657,1.13313,0.54014,0.57663,0.56491,0.33265,0.53961,0.5728,0.55575,0.28148,1.35769,2.11762,2.06839,1.20056,0.006832,0.006832,0.006832
34,54557.5,1.22426,1.7545,1.1028,1.09104,0.62041,0.65134,0.67364,0.42419,0.61933,0.65134,0.67397,0.38115,1.24493,1.89874,1.99586,1.13306,0.006733,0.006733,0.006733
35,54648.8,1.15905,1.59396,1.1031,1.0799,0.72827,0.64693,0.73833,0.46931,0.71317,0.63352,0.7185,0.39465,1.2519,1.93742,1.26299,1.12387,0.006634,0.006634,0.006634
36,54740.6,1.15148,1.59615,1.06032,1.08502,0.672,0.67816,0.73291,0.47032,0.69236,0.66667,0.7287,0.413,1.23962,1.97767,1.10711,1.0926,0.006535,0.006535,0.006535
37,54832.2,1.18208,1.72233,1.09816,1.0929,0.69568,0.65252,0.70623,0.46127,0.71638,0.63387,0.71608,0.41365,1.19199,1.91735,1.14254,1.08048,0.006436,0.006436,0.006436
38,54923.3,1.10274,1.64464,1.03775,1.04345,0.73543,0.63218,0.71788,0.45476,0.74388,0.63429,0.72286,0.41213,1.2359,1.73667,1.24243,1.10066,0.006337,0.006337,0.006337
39,55016.2,1.19276,1.7911,1.20113,1.13462,0.7105,0.63218,0.73702,0.46822,0.71265,0.6341,0.73506,0.40649,1.22748,1.70181,1.21807,1.11816,0.006238,0.006238,0.006238
40,55109.8,1.20064,1.59162,0.99101,1.08764,0.70131,0.66858,0.73535,0.46283,0.71386,0.66434,0.73346,0.42757,1.23222,1.70254,1.11562,1.11728,0.006139,0.006139,0.006139
41,55201.9,1.15697,1.62058,1.09573,1.11526,0.69169,0.62452,0.72298,0.45904,0.69806,0.63027,0.72501,0.41535,1.22273,1.73795,1.16691,1.115,0.00604,0.00604,0.00604
42,55293.4,1.12998,1.53693,1.02141,1.07976,0.51856,0.53065,0.52805,0.34033,0.5166,0.51796,0.51865,0.27623,1.25841,2.1726,1.55518,1.1586,0.005941,0.005941,0.005941
43,55387.2,1.13557,1.59673,1.00003,1.07338,0.66544,0.65134,0.72203,0.47795,0.71509,0.60728,0.72009,0.41306,1.15522,1.67123,1.38657,1.08018,0.005842,0.005842,0.005842
44,55480.5,1.13688,1.60532,1.04852,1.08539,0.80831,0.71897,0.81912,0.5555,0.80846,0.71963,0.80842,0.47981,1.04331,1.62095,1.23561,1.02722,0.005743,0.005743,0.005743
45,55571.1,1.11844,1.61254,1.0806,1.1226,0.79791,0.79422,0.85973,0.59598,0.79323,0.78636,0.85029,0.51457,1.03473,1.51188,1.05402,1.01956,0.005644,0.005644,0.005644
46,55662.9,1.12546,1.52227,0.98567,1.06107,0.78035,0.78352,0.85607,0.59443,0.77249,0.78544,0.8503,0.50501,1.04496,1.37423,0.92143,1.0193,0.005545,0.005545,0.005545
47,55752,1.0926,1.50458,0.97516,1.05211,0.74541,0.72797,0.81539,0.55866,0.74541,0.72797,0.81354,0.50508,1.11047,1.4339,0.98268,1.04165,0.005446,0.005446,0.005446
48,55841.7,1.05623,1.46399,0.95162,1.06227,0.82961,0.73755,0.86348,0.60428,0.83623,0.74344,0.86573,0.54513,1.07777,1.35182,0.93428,1.03744,0.005347,0.005347,0.005347
49,55933.7,1.10944,1.50012,0.94835,1.04934,0.79688,0.78352,0.86461,0.60366,0.79823,0.78161,0.86294,0.53007,1.06579,1.36969,0.98507,1.04132,0.005248,0.005248,0.005248
50,56024.6,1.06912,1.33602,0.98257,1.05171,0.77284,0.77395,0.87044,0.62556,0.77667,0.77778,0.86882,0.55561,1.01266,1.31845,0.95693,1.01372,0.005149,0.005149,0.005149
51,56117.5,1.07751,1.46621,0.9129,1.03478,0.76106,0.77011,0.85769,0.60048,0.76864,0.77778,0.85308,0.54408,1.05912,1.36626,0.92652,1.01851,0.00505,0.00505,0.00505
52,56207.8,1.08957,1.3774,0.9563,1.06538,0.82132,0.81014,0.88435,0.62398,0.82575,0.80268,0.87636,0.56136,1.03024,1.37125,0.86671,1.01797,0.004951,0.004951,0.004951
53,56299.7,1.0642,1.40824,0.90157,1.0353,0.8151,0.81073,0.88041,0.62899,0.81556,0.80843,0.87557,0.561,1.00973,1.37793,0.86206,1.00923,0.004852,0.004852,0.004852
54,56389.9,1.04935,1.33958,0.91388,1.045,0.76463,0.83142,0.87452,0.64071,0.7766,0.81246,0.86873,0.57325,0.97371,1.24853,0.8563,0.9956,0.004753,0.004753,0.004753
55,56480.5,1.01816,1.30068,0.85372,1.02996,0.82661,0.81282,0.89715,0.66149,0.83191,0.81992,0.89662,0.57121,0.95669,1.2387,0.87139,0.98385,0.004654,0.004654,0.004654
56,56567.7,0.97849,1.24567,0.82686,1.02093,0.80333,0.8373,0.88287,0.63116,0.81982,0.80194,0.8621,0.53741,1.04029,1.53806,0.8395,0.99938,0.004555,0.004555,0.004555
57,56656.8,1.04892,1.35462,0.89824,1.02374,0.84338,0.7931,0.88626,0.62619,0.80919,0.79615,0.86275,0.53577,1.06216,1.52384,0.8566,1.0106,0.004456,0.004456,0.004456
58,56744.8,0.99801,1.2974,0.88094,1.02834,0.81624,0.77436,0.87596,0.61551,0.80283,0.76437,0.85065,0.5136,1.05999,1.54839,0.96297,1.01528,0.004357,0.004357,0.004357
59,56831.9,0.95469,1.20687,0.85116,0.9912,0.82015,0.81418,0.89177,0.65587,0.80538,0.80862,0.88004,0.56422,0.97723,1.33537,0.89689,0.98719,0.004258,0.004258,0.004258
60,56919.9,1.062,1.42045,0.90395,1.02703,0.83229,0.83333,0.91029,0.70274,0.8529,0.81034,0.90232,0.60329,0.89443,1.21937,0.77539,0.95357,0.004159,0.004159,0.004159
61,57005.4,0.95847,1.30793,0.86598,1.02958,0.8535,0.80077,0.90493,0.68392,0.84737,0.79502,0.8987,0.59946,0.90055,1.2591,0.77024,0.94832,0.00406,0.00406,0.00406
62,57092.5,1.05224,1.47175,0.89188,1.02374,0.82427,0.80874,0.9023,0.67716,0.82232,0.80683,0.89847,0.61241,0.89278,1.21207,0.7686,0.94174,0.003961,0.003961,0.003961
63,57179.4,0.92844,1.26713,0.77028,0.99783,0.84151,0.81418,0.90576,0.66842,0.8401,0.81529,0.90554,0.6153,0.92976,1.19155,0.76227,0.96762,0.003862,0.003862,0.003862
